Left Angle,Right Angle,Outcome
80.29334759,180,1
180,180,0
180,129.1668373,1
147.0947571,104.6567511,1
162.0720802,147.0947571,1
147.0947571,147.0947571,1
180,180,0
180,70.65195001,1
180,105.9453959,1
140.3800172,105.9453959,1
147.0947571,180,1
180,98.13010235,1
147.0947571,116.8733016,1
149.5344551,180,1
75.60802925,180,1
149.5344551,98.13010235,1
147.0947571,148.2985703,1
147.0947571,148.2985703,1
180,180,0
180,129.1668373,1
129.1668373,147.0947571,1
169.2004841,129.1668373,1
180,6.112362626,1
180,168.906277,0
162.5252257,163.6104597,1
170.3462139,179.4929709,0
170.8552283,146.3099325,1
100.5251079,164.2378522,1
172.5822419,124.787681,1
118.1185918,123.7099458,1
104.8479098,147.5288077,1
80.67640822,134.1384743,1
78.69006753,167.8285418,1
67.21759427,180,1
62.02052561,163.6104597,1
112.6014537,147.0947571,1
90,180,1
73.61045967,147.0947571,1
112.6014537,16.42539501,1
97.28956437,84.38779677,1
141.009006,84.38779677,1
129.1668373,16.42539501,1
129.1668373,17.47477426,1
98.52544912,57.09475708,1
173.125182,84.72135394,1
119.0689102,11.11873481,1
173.6184395,90,1
119.0689102,11.11873481,1
174.0094053,120.4655449,1
174.0094053,120.4655449,1
174.0094053,120.4655449,1
100.3989456,137.9403192,1
174.0094053,10.52510787,1
171.7976458,171.7976458,0
178.8141475,172.9834983,0
163.918348,172.9834983,1
171.7976458,180,0
156.9018463,180,1
171.7976458,180,0
140.533127,180,1
171.7976458,180,0
171.7976458,163.5952915,0
171.7976458,180,0
171.7976458,180,0
171.7976458,171.7976458,0
171.7976458,171.7976458,0
142.6830897,136.6187758,1
171.7976458,140.533127,1
171.7976458,170.1341931,0
171.7976458,171.7976458,0
171.7976458,171.7976458,0
122.1957339,117.9794744,1
17.47477426,152.6612789,1
133.1449147,104.7654231,1
129.4109268,149.9543878,1
114.1895142,180,1
120.4655449,156.6258356,1
119.0689102,13.25637856,1
180,180,0
128.5174462,96.66413729,1
180,96.42347044,1
180,180,0
180,180,0
147.0947571,180,1
147.0947571,180,1
119.0689102,180,1
162.0720802,180,1
129.1668373,162.0720802,1
180,162.0720802,1
95.99059472,95.64462221,1
180,90,1
180,180,0
117.9794744,38.33334011,1
110.4054203,110.4054203,1
101.8530042,101.1187348,1
136.7357046,101.1187348,1
136.7357046,139.8645144,1
110.4054203,49.86451444,1
180,180,0
147.0947571,147.0947571,1
128.3333401,32.19573393,1
180,139.8645144,1
38.33334011,32.19573393,1
147.0947571,180,1
180,180,0
180,27.61302782,1
180,180,0
149.5344551,180,1
149.5344551,180,1
180,147.0947571,1
149.5344551,180,1
180,129.1668373,1
180,114.1895142,1
171.7976458,170.2382252,0
171.7976458,170.2382252,0
171.7976458,171.7976458,0
171.7976458,171.7976458,0
147.0947571,180,1
180,180,0
147.0947571,114.1895142,1
129.1668373,180,1
77.82854179,180,1
90,180,1
180,180,0
175.7819179,147.0947571,1
180,72.07208024,1
129.1668373,147.0947571,1
90,129.1668373,1
148.2985703,178.4616206,1
162.0720802,90,1
147.0947571,115.5227823,1
180,115.5227823,1
90,77.82854179,1
99.18883608,167.8285418,1
127.6942405,52.30575953,1
134.9232989,180,1
67.61986495,90,1
32.90524292,90,1
149.900622,32.90524292,1
147.0947571,124.7559126,1
171.7976458,170.2382252,0
171.7976458,170.2382252,0
180,170.2382252,0
180,171.7976458,0
180,171.7976458,0
163.4842974,85.07423147,1
162.0720802,165.0226768,1
165.0226768,147.0947571,1
180,180,0
163.6104597,180,1
127.6942405,111.1247191,1
73.61045967,73.61045967,1
165.0226768,147.0947571,1
162.0720802,135.8550974,1
165.0226768,129.1668373,1
165.0226768,127.6942405,1
147.0947571,147.0947571,1
53.0091403,42.8143057,1
180,114.1895142,1
171.7976458,171.7976458,0
172.9296552,170.2382252,0
171.7976458,170.2382252,0
171.7976458,170.2382252,0
171.7976458,170.2382252,0
102.9498545,114.1895142,1
147.0947571,180,1
147.0947571,147.0947571,1
67.73979093,69.77388354,1
162.0720802,147.0947571,1
162.0720802,162.0720802,1
162.0720802,180,1
173.2901632,180,0
129.1668373,91.46084284,1
147.0947571,180,1
147.0947571,90,1
147.0947571,147.0947571,1
180,180,0
114.1895142,114.1895142,1
180,180,0
114.1895142,147.0947571,1
180,180,0
147.0947571,114.1895142,1
147.0947571,147.0947571,1
114.1895142,147.0947571,1
73.61045967,129.1668373,1
147.0947571,112.6014537,1
109.7663207,112.6014537,1
90,109.7663207,1
72.07208024,147.0947571,1
127.6942405,147.0947571,1
180,180,0
163.6104597,178.4616206,1
162.0720802,162.0720802,1
180,180,0
147.0947571,180,1
165.0226768,147.0947571,1
180,180,0
90,106.3895403,1
167.8285418,129.1668373,1
144.1441605,180,1
90,147.0947571,1
180,147.0947571,1
180,147.0947571,1
147.0947571,114.1895142,1
180,114.1895142,1
114.1895142,114.1895142,1
180,180,0
180,147.0947571,1
129.1668373,180,1
180,180,0
180,180,0
147.0947571,180,1
180,180,0
180,180,0
162.0720802,147.0947571,1
147.0947571,180,1
147.0947571,180,1
180,180,0
147.0947571,180,1
180,147.0947571,1
180,162.0720802,1
149.5344551,180,1
180,162.0720802,1
171.7976458,180,0
171.7976458,180,0
180,162.0720802,1
180,162.0720802,1
180,147.0947571,1
180,180,0
180,180,0
180,180,0
180,180,0
147.0947571,180,1
180,180,0
180,180,0
180,180,0
162.0720802,180,1
180,180,0
180,167.8285418,0
167.8285418,167.8285418,0
84.72135394,180,1
168.906277,161.5650512,1
168.906277,149.6646617,1
167.5925815,180,0
174.4794988,180,0
85.91271821,152.3005272,1
171.395672,180,0
16.26020471,4.61109887,1
180,105.6155697,1
147.0947571,162.0720802,1
180,180,0
162.0720802,180,1
162.0720802,115.3349222,1
72.07208024,28.97477497,1
180,147.0947571,1
171.7976458,180,0
171.7976458,180,0
171.7976458,180,0
171.7976458,180,0
73.61045967,103.6504191,1
162.0720802,180,1
77.22875744,110.5375209,1
151.6695419,125.9097231,1
168.6900675,158.4046896,1
87.65831138,71.8219812,1
159.2662153,93.9212871,1
180,180,0
180,114.1895142,1
147.0947571,147.0947571,1
57.09475708,90,1
147.0947571,147.0947571,1
147.0947571,180,1
68.61000718,147.0947571,1
87.27368901,103.6632293,1
122.9052429,69.49702111,1
90,90,1
87.27368901,69.49702111,1
69.49702111,93.33195207,1
149.5344551,163.6104597,1
180,180,0
90,72.07208024,1
162.0720802,162.0720802,1
180,180,0
57.09475708,147.0947571,1
162.0720802,180,1
92.73395757,162.0720802,1
147.0947571,114.1895142,1
180,114.1895142,1
114.1895142,129.1668373,1
147.0947571,180,1
75.38848093,147.0947571,1
94.78899754,119.0689102,1
77.98198809,98.52544912,1
66.97046843,128.990994,1
171.7976458,180,0
171.7976458,180,0
55.95894878,128.990994,1
131.90903,129.1668373,1
131.90903,180,1
131.90903,180,1
127.15432,180,1
117.4281991,162.0720802,1
147.0947571,180,1
162.0720802,180,1
162.0720802,180,1
174.2435384,180,0
156.6659587,180,1
171.7976458,180,0
171.7976458,180,0
167.8285418,149.5344551,1
167.8285418,180,0
180,144.1441605,1
162.0720802,144.1441605,1
162.0720802,162.0720802,1
162.0720802,180,1
168.906277,180,0
163.6104597,162.0720802,1
163.6104597,180,1
163.6104597,180,1
2.544059974,180,1
167.8285418,149.900622,1
162.0720802,149.900622,1
162.0720802,180,1
127.15432,144.1441605,1
180,144.1441605,1
162.0720802,149.900622,1
180,144.1441605,1
106.610859,144.1441605,1
97.28956437,129.1668373,1
129.1668373,162.0720802,1
167.7995313,173.8298249,0
180,173.8298249,0
162.0308603,180,1
144.1441605,162.0720802,1
144.1441605,180,1
134.9232989,162.0720802,1
144.1441605,180,1
149.900622,180,1
144.1441605,162.0720802,1
134.9232989,180,1
180,180,0
147.0947571,162.0720802,1
162.0720802,162.0720802,1
147.0947571,162.0720802,1
167.8285418,162.0720802,1
180,162.0720802,1
115.5227823,147.0947571,1
134.9232989,162.0720802,1
180,162.0720802,1
180,162.0720802,1
149.900622,162.0720802,1
180,180,0
167.8285418,162.0720802,1
180,162.0720802,1
129.1668373,180,1
180,162.0720802,1
180,180,0
180,180,0
180,180,0
147.0947571,147.2209193,1
180,133.1449147,1
180,180,0
180,147.2209193,1
162.0720802,180,1
167.8285418,180,0
162.0720802,163.6104597,1
162.0720802,163.6104597,1
180,180,0
147.0947571,147.2209193,1
180,163.6104597,0
162.0720802,163.6104597,1
162.0720802,180,1
180,180,0
180,162.0720802,1
180,162.0720802,1
147.0947571,162.0720802,1
180,180,0
163.6104597,162.0720802,1
163.6104597,180,1
180,180,0
162.0720802,144.1441605,1
162.0720802,180,1
162.0720802,180,1
162.0720802,180,1
162.0720802,180,1
180,180,0
180,180,0
180,180,0
144.1441605,180,1
180,180,0
144.1441605,180,1
149.900622,180,1
180,144.1441605,1
149.900622,180,1
180,180,0
167.8285418,162.0720802,1
167.8285418,180,0
149.900622,180,1
180,144.1441605,1
167.8285418,180,0
167.8285418,144.1441605,1
144.1441605,134.9232989,1
162.0720802,180,1
167.8285418,180,0
167.8285418,180,0
162.0720802,134.9232989,1
162.0720802,144.1441605,1
109.7663207,115.5227823,1
172.9296552,171.7976458,0
171.7976458,171.7976458,0
162.0720802,144.1441605,1
162.0720802,144.1441605,1
111.0630743,134.9232989,1
162.0720802,134.9232989,1
111.0630743,149.900622,1
163.6104597,162.0720802,1
168.906277,162.0720802,1
163.6104597,180,1
163.6104597,134.9232989,1
178.4616206,134.9232989,1
162.0720802,180,1
178.4616206,180,0
162.0720802,180,1
162.0720802,180,1
162.0720802,162.0720802,1
180,162.0720802,1
162.0720802,144.1441605,1
162.0720802,144.1441605,1
167.8285418,168.906277,0
162.0720802,168.906277,1
162.0720802,163.6104597,1
162.0720802,147.2209193,1
180,180,0
96.88473809,180,1
125.9184353,149.900622,1
127.15432,167.8285418,1
180,180,0
180,165.6274707,0
152.5167367,149.900622,1
148.2985703,149.900622,1
168.906277,162.0720802,1
179.9461569,180,0
179.9461569,173.8298249,0
163.6104597,137.905921,1
134.9232989,180,1
180,144.1441605,1
180,129.1668373,1
180,77.82854179,1
180,147.0947571,1
180,171.6341139,0
167.8285418,171.6341139,0
152.8832442,180,1
112.5210561,90,1
123.7607158,147.0947571,1
165.0318448,162.0720802,1
168.906277,163.6104597,0
162.0720802,149.5344551,1
180,90,1
147.0947571,149.5344551,1
118.5054044,90,1
180,24.9375491,1
159.2662153,90,1
180,134.9232989,1
172.9296552,180,0
179.9461569,180,0
178.8141475,180,0
171.7976458,180,0
147.0947571,149.900622,1
162.0720802,147.0947571,1
162.0720802,162.0720802,1
162.0720802,162.0720802,1
167.8285418,156.6659587,1
180,144.4945005,1
170.8111639,137.905921,1
152.8832442,162.0720802,1
180,180,0
136.2921669,141.8915062,1
149.5344551,149.5344551,1
149.5344551,149.5344551,1
180,149.5344551,1
162.0720802,149.5344551,1
167.8285418,180,0
167.8285418,163.6104597,0
162.0720802,180,1
147.0947571,147.0947571,1
147.0947571,147.0947571,1
180,162.0720802,1
180,180,0
162.0720802,162.0720802,1
162.0720802,162.0720802,1
162.0720802,162.0720802,1
162.0720802,162.0720802,1
180,162.0720802,1
172.9296552,180,0
172.9296552,180,0
180,147.0947571,1
167.8285418,180,0
147.0947571,162.0720802,1
180,162.0720802,1
180,162.0720802,1
180,162.0720802,1
180,162.0720802,1
162.0720802,180,1
147.0947571,180,1
162.0720802,159.2662153,1
180,180,0
180,180,0
162.0720802,180,1
162.0720802,180,1
162.0720802,147.0947571,1
162.0720802,180,1
180,165.0226768,0
162.0720802,165.0226768,1
180,180,0
162.0720802,162.0720802,1
180,180,0
180,133.1449147,1
162.0720802,180,1
171.2609163,167.8285418,0
167.8285418,162.0720802,1
80.81116392,77.82854179,1
65.15145938,63.94197788,1
72.8380812,69.96089515,1
81.63411388,77.82854179,1
52.83168953,66.64678758,1
172.9834983,171.7976458,0
80.81116392,66.66595872,1
109.7663207,8.153022993,1
80.81116392,79.27456552,1
93.9212871,54.05735193,1
78.90627699,42.19754848,1
112.6014537,30.66892665,1
116.8195358,1.431129607,1
104.3601992,72.07208024,1
109.7663207,3.390653961,1
77.82854179,144.1441605,1
172.9296552,172.9296552,0
180,180,0
172.9296552,180,0
180,180,0
109.7663207,43.36342296,1
66.66595872,128.990994,1
57.09475708,49.21417852,1
94.78899754,57.09475708,1
109.7663207,25.80788231,1
57.09475708,45.8550974,1
97.28956437,2.355852966,1
117.8330254,129.1668373,1
117.8330254,129.1668373,1
97.28956437,3.099375905,1
115.3933274,129.1668373,1
57.09475708,115.3933274,1
172.9834983,180,0
180,180,0
171.7976458,180,0
180,170.1341931,0
180,170.1341931,0
57.09475708,72.07208024,1
114.1895142,129.1668373,1
117.8330254,57.09475708,1
58.29857033,114.1895142,1
133.1449147,114.1895142,1
156.7653541,144.0178086,1
172.9834983,171.7976458,0
172.9834983,180,0
171.7976458,180,0
136.9129451,133.7183371,1
58.29857033,119.0689102,1
140.1236537,167.8285418,1
37.69424047,57.09475708,1
57.09475708,90,1
113.2065658,113.2065658,1
180,127.4336152,1
72.21633856,180,1
180,147.0947571,1
